time, device, OryConc, CPUTemp, SensorTemp, 
07:05:46, position 2, 70, , , , 
07:05:47, position 3, 70, , , , 
07:05:52, position 2, 130, , , , 
07:05:52, position 3, 130, , , , 
08:28:46, position 2, 70, , , 
08:28:46, position 3, 70, , , 
08:28:51, position 2, 130, , , 
08:28:51, position 3, 130, , , 
08:28:56, position 2, 190, , , 
08:28:57, position 3, 190, , , 
08:29:02, position 2, 250, , , 
08:29:02, position 3, 250, , , 
08:29:07, position 2, 310, , , 
08:29:07, position 3, 310, , , 
08:29:12, position 2, 370, , , 
08:29:12, position 3, 370, , , 
08:29:17, position 2, 430, , , 
08:29:17, position 3, 430, , , 
08:29:22, position 2, 490, , , 
08:29:23, position 3, 490, , , 
08:29:27, position 2, 550, , , 
08:29:28, position 3, 550, , , 
08:29:32, position 2, 610, , , 
08:29:33, position 3, 610, , , 
08:29:40, position 2, 70, , , 
08:29:40, position 3, 70, , , 
08:29:45, position 2, 130, , , 
08:29:45, position 3, 130, , , 
08:29:50, position 2, 190, , , 
08:29:50, position 3, 190, , , 
08:29:55, position 2, 250, , , 
08:29:55, position 3, 250, , , 
08:30:00, position 2, 310, , , 
08:30:00, position 3, 310, , , 
08:30:05, position 2, 370, , , 
08:30:06, position 3, 370, , , 
08:30:11, position 2, 430, , , 
08:30:11, position 3, 430, , , 
08:30:16, position 2, 490, , , 
08:30:16, position 3, 490, , , 
08:30:21, position 2, 550, , , 
08:30:21, position 3, 550, , , 
08:30:26, position 2, 610, , , 
08:30:26, position 3, 610, , , 
08:30:31, position 2, 670, , , 
08:30:31, position 3, 670, , , 
08:30:36, position 2, 730, , , 
08:30:37, position 3, 730, , , 
08:30:42, position 2, 790, , , 
08:30:42, position 3, 790, , , 
08:30:47, position 2, 850, , , 
08:30:47, position 3, 850, , , 
08:30:52, position 2, 910, , , 
08:30:52, position 3, 910, , , 
08:30:57, position 2, 70, , , 
08:30:57, position 3, 70, , , 
08:31:02, position 2, 130, , , 
08:31:02, position 3, 130, , , 
08:31:07, position 2, 190, , , 
08:31:07, position 3, 190, , , 
08:31:12, position 2, 250, , , 
08:31:12, position 3, 250, , , 
08:31:19, position 2, 70, , , 
08:31:19, position 3, 70, , , 
08:31:24, position 2, 130, , , 
08:31:24, position 3, 130, , , 
08:31:29, position 2, 190, , , 
08:31:29, position 3, 190, , , 
08:31:34, position 2, 250, , , 
08:31:34, position 3, 250, , , 
08:31:39, position 2, 310, , , 
08:31:39, position 3, 310, , , 
08:31:44, position 2, 370, , , 
08:31:44, position 3, 370, , , 
08:31:49, position 2, 430, , , 
08:31:49, position 3, 430, , , 
08:31:54, position 2, 490, , , 
08:31:55, position 3, 490, , , 
08:31:59, position 2, 550, , , 
08:32:00, position 3, 550, , , 
08:32:05, position 2, 610, , , 
08:32:05, position 3, 610, , , 
08:32:10, position 2, 670, , , 
08:32:10, position 3, 670, , , 
08:32:15, position 2, 730, , , 
08:32:15, position 3, 730, , , 
08:32:20, position 2, 790, , , 
08:32:20, position 3, 790, , , 
08:32:25, position 2, 850, , , 
08:32:25, position 3, 850, , , 
08:32:30, position 2, 910, , , 
08:32:30, position 3, 910, , , 
08:32:35, position 2, 70, , , 
08:32:35, position 3, 70, , , 
08:32:40, position 2, 130, , , 
08:32:40, position 3, 130, , , 
08:32:45, position 2, 190, , , 
08:32:45, position 3, 190, , , 
08:32:50, position 2, 250, , , 
08:32:50, position 3, 250, , , 
08:32:55, position 2, 310, , , 
08:32:55, position 3, 310, , , 
08:33:00, position 2, 370, , , 
08:33:01, position 3, 370, , , 
08:33:06, position 2, 430, , , 
08:33:06, position 3, 430, , , 
08:33:11, position 2, 490, , , 
08:33:11, position 3, 490, , , 
08:33:16, position 2, 550, , , 
08:33:16, position 3, 550, , , 
