time, device, OryConc, CPUTemp, SensorTemp, 
06:32:09, position 1, 13966, 0.0, , , 
06:32:15, position 1, 13966, 0.0, , , 
06:32:20, position 1, 13966, 0.0, , , 
06:32:25, position 1, 13966, 0.0, , , 
06:35:58, position 1, 640208, 0.0, , 
06:36:03, position 1, 13966, 0.0, , 
06:36:08, position 1, 26799, 0.0, , 
06:36:13, position 1, -18844, 0.0, , 
06:36:18, position 1, 238705, 0.0, , 
06:36:23, position 1, 640208, 0.0, , 
06:36:28, position 1, 13966, 0.0, , 
06:36:33, position 1, 26799, 0.0, , 
06:36:38, position 1, -18844, 0.0, , 
06:36:43, position 1, 238705, 0.0, , 
06:36:48, position 1, 640208, 0.0, , 
06:36:53, position 1, 13966, 0.0, , 
06:36:58, position 1, 26799, 0.0, , 
06:37:03, position 1, -18844, 0.0, , 
06:37:08, position 1, 238705, 0.0, , 
06:37:13, position 1, 640208, 0.0, , 
06:37:18, position 1, 13966, 0.0, , 
06:37:23, position 1, 26799, 0.0, , 
06:37:28, position 1, -18844, 0.0, , 
06:37:33, position 1, 238705, 0.0, , 
06:37:38, position 1, 640208, 0.0, , 
06:37:43, position 1, 13966, 0.0, , 
06:37:48, position 1, 26799, 0.0, , 
06:41:47, position 1, 13966, 0.0, , 
06:41:52, position 1, 26799, 0.0, , 
06:41:57, position 1, -18844, 0.0, , 
06:42:02, position 1, 238705, 0.0, , 
06:42:07, position 1, 640208, 0.0, , 
06:42:12, position 1, 13966, 0.0, , 
06:42:17, position 1, 26799, 0.0, , 
06:42:22, position 1, -18844, 0.0, , 
06:42:27, position 1, 238705, 0.0, , 
06:42:32, position 1, 640208, 0.0, , 
06:42:37, position 1, 13966, 0.0, , 
06:42:42, position 1, 26799, 0.0, , 
06:42:47, position 1, -18844, 0.0, , 
06:42:52, position 1, 238705, 0.0, , 
06:42:57, position 1, 640208, 0.0, , 
06:43:02, position 1, 13966, 0.0, , 
06:43:07, position 1, 26799, 0.0, , 
06:43:12, position 1, -18844, 0.0, , 
06:43:17, position 1, 238705, 0.0, , 
06:43:22, position 1, 640208, 0.0, , 
06:43:27, position 1, 13966, 0.0, , 
06:43:32, position 1, 26799, 0.0, , 
06:43:37, position 1, -18844, 0.0, , 
06:43:42, position 1, 238705, 0.0, , 
06:43:47, position 1, 640208, 0.0, , 
06:43:52, position 1, 13966, 0.0, , 
06:43:57, position 1, 26799, 0.0, , 
06:44:02, position 1, -18844, 0.0, , 
06:44:07, position 1, 238705, 0.0, , 
06:44:12, position 1, 640208, 0.0, , 
06:44:17, position 1, 13966, 0.0, , 
06:44:22, position 1, 26799, 0.0, , 
06:44:27, position 1, -18844, 0.0, , 
06:44:32, position 1, 238705, 0.0, , 
06:44:37, position 1, 640208, 0.0, , 
06:44:42, position 1, 13966, 0.0, , 
06:44:47, position 1, 26799, 0.0, , 
06:44:52, position 1, -18844, 0.0, , 
06:44:57, position 1, 238705, 0.0, , 
06:45:02, position 1, 640208, 0.0, , 
06:45:07, position 1, 13966, 0.0, , 
06:45:12, position 1, 26799, 0.0, , 
06:45:17, position 1, -18844, 0.0, , 
06:45:22, position 1, 238705, 0.0, , 
06:45:27, position 1, 640208, 0.0, , 
06:45:32, position 1, 13966, 0.0, , 
06:45:37, position 1, 26799, 0.0, , 
06:45:42, position 1, -18844, 0.0, , 
06:45:47, position 1, 238705, 0.0, , 
06:45:52, position 1, 640208, 0.0, , 
06:45:57, position 1, 13966, 0.0, , 
06:46:02, position 1, 26799, 0.0, , 
06:46:07, position 1, -18844, 0.0, , 
06:46:12, position 1, 238705, 0.0, , 
06:46:17, position 1, 640208, 0.0, , 
06:46:22, position 1, 13966, 0.0, , 
06:46:27, position 1, 26799, 0.0, , 
06:46:32, position 1, -18844, 0.0, , 
06:46:37, position 1, 238705, 0.0, , 
06:46:42, position 1, 640208, 0.0, , 
06:46:47, position 1, 13966, 0.0, , 
06:46:52, position 1, 26799, 0.0, , 
06:46:57, position 1, -18844, 0.0, , 
06:47:02, position 1, 238705, 0.0, , 
06:47:07, position 1, 640208, 0.0, , 
06:47:12, position 1, 13966, 0.0, , 
06:47:17, position 1, 26799, 0.0, , 
06:47:22, position 1, -18844, 0.0, , 
06:47:27, position 1, 238705, 0.0, , 
06:47:32, position 1, 640208, 0.0, , 
06:47:37, position 1, 13966, 0.0, , 
06:47:42, position 1, 26799, 0.0, , 
06:47:47, position 1, -18844, 0.0, , 
06:47:52, position 1, 238705, 0.0, , 
06:47:57, position 1, 640208, 0.0, , 
06:48:02, position 1, 13966, 0.0, , 
06:48:07, position 1, 26799, 0.0, , 
06:48:12, position 1, -18844, 0.0, , 
06:48:17, position 1, 238705, 0.0, , 
06:48:22, position 1, 640208, 0.0, , 
06:48:27, position 1, 13966, 0.0, , 
06:48:32, position 1, 26799, 0.0, , 
06:48:37, position 1, -18844, 0.0, , 
06:48:42, position 1, 238705, 0.0, , 
06:48:47, position 1, 640208, 0.0, , 
06:48:52, position 1, 13966, 0.0, , 
06:48:57, position 1, 26799, 0.0, , 
